Month,GasProd
Jan-1974,11704
Feb-1974,12275
Mar-1974,13695
Apr-1974,14082
May-1974,16555
Jun-1974,17339
Jul-1974,17777
Aug-1974,17592
Sep-1974,16194
Oct-1974,15336
Nov-1974,14208
Dec-1974,13116
Jan-1975,12354
Feb-1975,12682
Mar-1975,14141
Apr-1975,14989
May-1975,16159
Jun-1975,18276
Jul-1975,19157
Aug-1975,18737
Sep-1975,17109
Oct-1975,17094
Nov-1975,15418
Dec-1975,14312
Jan-1976,13260
Feb-1976,14990
Mar-1976,15975
Apr-1976,16770
May-1976,19819
Jun-1976,20983
Jul-1976,22001
Aug-1976,22337
Sep-1976,20750
Oct-1976,19969
Nov-1976,17293
Dec-1976,16498
Jan-1977,15117
Feb-1977,16058
Mar-1977,18137
Apr-1977,18471
May-1977,21398
Jun-1977,23854
Jul-1977,26025
Aug-1977,25479
Sep-1977,22804
Oct-1977,19619
Nov-1977,19627
Dec-1977,18488
Jan-1978,17243
Feb-1978,18284
Mar-1978,20226
Apr-1978,20903
May-1978,23768
Jun-1978,26323
Jul-1978,28038
Aug-1978,26776
Sep-1978,22886
Oct-1978,22813
Nov-1978,22404
Dec-1978,19795
Jan-1979,18839
Feb-1979,18892
Mar-1979,20823
Apr-1979,22212
May-1979,25076
Jun-1979,26884
Jul-1979,30611
Aug-1979,30228
Sep-1979,26762
Oct-1979,25885
Nov-1979,23328
Dec-1979,21930
Jan-1980,21433
Feb-1980,22369
Mar-1980,24503
Apr-1980,25905
May-1980,30605
Jun-1980,34984
Jul-1980,37060
Aug-1980,34502
Sep-1980,31793
Oct-1980,29275
Nov-1980,28305
Dec-1980,25248
Jan-1981,27730
Feb-1981,27424
Mar-1981,32684
Apr-1981,31366
May-1981,37459
Jun-1981,41060
Jul-1981,43558
Aug-1981,42398
Sep-1981,33827
Oct-1981,34962
Nov-1981,33480
Dec-1981,32445
Jan-1982,30715
Feb-1982,30400
Mar-1982,31451
Apr-1982,31306
May-1982,40592
Jun-1982,44133
Jul-1982,47387
Aug-1982,41310
Sep-1982,37913
Oct-1982,34355
Nov-1982,34607
Dec-1982,28729
Jan-1983,26138
Feb-1983,30745
Mar-1983,35018
Apr-1983,34549
May-1983,40980
Jun-1983,42869
Jul-1983,45022
Aug-1983,40387
Sep-1983,38180
Oct-1983,38608
Nov-1983,35308
Dec-1983,30234
Jan-1984,28801
Feb-1984,33034
Mar-1984,35294
Apr-1984,33181
May-1984,40797
Jun-1984,42355
Jul-1984,46098
Aug-1984,42430
Sep-1984,41851
Oct-1984,39331
Nov-1984,37328
Dec-1984,34514
Jan-1985,32494
Feb-1985,33308
Mar-1985,36805
Apr-1985,34221
May-1985,41020
Jun-1985,44350
Jul-1985,46173
Aug-1985,44435
Sep-1985,40943
Oct-1985,39269
Nov-1985,35901
Dec-1985,32142
Jan-1986,31239
Feb-1986,32261
Mar-1986,34951
Apr-1986,38109
May-1986,43168
Jun-1986,45547
Jul-1986,49568
Aug-1986,45387
Sep-1986,41805
Oct-1986,41281
Nov-1986,36068
Dec-1986,34879
Jan-1987,32791
Feb-1987,34206
Mar-1987,39128
Apr-1987,40249
May-1987,43519
Jun-1987,46137
Jul-1987,56709
Aug-1987,52306
Sep-1987,49397
Oct-1987,45500
Nov-1987,39857
Dec-1987,37958
Jan-1988,35567
Feb-1988,37696
Mar-1988,42319
Apr-1988,39137
May-1988,47062
Jun-1988,50610
Jul-1988,54457
Aug-1988,54435
Sep-1988,48516
Oct-1988,43225
Nov-1988,42155
Dec-1988,39995
Jan-1989,37541
Feb-1989,37277
Mar-1989,41778
Apr-1989,41666
May-1989,49616
Jun-1989,57793
Jul-1989,61884
Aug-1989,62400
Sep-1989,50820
Oct-1989,51116
Nov-1989,45731
Dec-1989,42528
Jan-1990,40459
Feb-1990,40295
Mar-1990,44147
Apr-1990,42697
May-1990,52561
Jun-1990,56572
Jul-1990,56858
Aug-1990,58363
Sep-1990,45627
Oct-1990,45622
Nov-1990,41304
Dec-1990,36016
Jan-1991,35592
Feb-1991,35677
Mar-1991,39864
Apr-1991,41761
May-1991,50380
Jun-1991,49129
Jul-1991,55066
Aug-1991,55671
Sep-1991,49058
Oct-1991,44503
Nov-1991,42145
Dec-1991,38698
Jan-1992,38963
Feb-1992,38690
Mar-1992,39792
Apr-1992,42545
May-1992,50145
Jun-1992,58164
Jul-1992,59035
Aug-1992,59408
Sep-1992,55988
Oct-1992,47321
Nov-1992,42269
Dec-1992,39606
Jan-1993,37059
Feb-1993,37963
Mar-1993,31043
Apr-1993,41712
May-1993,50366
Jun-1993,56977
Jul-1993,56807
Aug-1993,54634
Sep-1993,51367
Oct-1993,48073
Nov-1993,46251
Dec-1993,43736
Jan-1994,39975
Feb-1994,40478
Mar-1994,46895
Apr-1994,46147
May-1994,55011
Jun-1994,57799
Jul-1994,62450
Aug-1994,63896
Sep-1994,57784
Oct-1994,53231
Nov-1994,50354
Dec-1994,38410
Jan-1995,41600
Feb-1995,41471
Mar-1995,46287
Apr-1995,49013
May-1995,56624
Jun-1995,61739
Jul-1995,66600
Aug-1995,60054
