Date,Value
30-11-1996,371.9
31-12-1996,369.55
31-01-1997,345
28-02-1997,360.6
31-03-1997,349.5
30-04-1997,340.45
31-05-1997,345.75
30-06-1997,334.05
31-07-1997,326
31-08-1997,325.4
30-09-1997,328.75
31-10-1997,310.4
30-11-1997,296.9
31-12-1997,289.2
31-01-1998,301.8
28-02-1998,296.55
31-03-1998,299.9
30-04-1998,310.7
31-05-1998,292.4
30-06-1998,295.75
31-07-1998,289.4
31-08-1998,273.4
30-09-1998,294.1
31-10-1998,293.1
30-11-1998,295.75
31-12-1998,287.45
31-01-1999,285.65
28-02-1999,286.8
31-03-1999,279.8
30-04-1999,285.85
31-05-1999,271.05
30-06-1999,261.2
31-07-1999,256.75
31-08-1999,254.6
30-09-1999,303.75
31-10-1999,298.85
30-11-1999,292
31-12-1999,290.85
31-01-2000,283.05
29-02-2000,294
31-03-2000,275.9
30-04-2000,275.85
31-05-2000,272.25
30-06-2000,289.15
31-07-2000,277.4
31-08-2000,274.95
30-09-2000,274.1
31-10-2000,263.8
30-11-2000,267
31-12-2000,272.65
31-01-2001,266.2
28-02-2001,265
31-03-2001,259.05
30-04-2001,263.45
31-05-2001,266.1
30-06-2001,269.9
31-07-2001,265.55
31-08-2001,275.35
30-09-2001,290.85
31-10-2001,280.95
30-11-2001,274.7
31-12-2001,276.5
31-01-2002,281.5
28-02-2002,296.55
31-03-2002,303
30-04-2002,309.35
31-05-2002,327.25
30-06-2002,319.05
31-07-2002,305.5
31-08-2002,312.4
30-09-2002,322.4
31-10-2002,316.35
30-11-2002,318.25
31-12-2002,342.75
31-01-2003,370.35
28-02-2003,347.65
31-03-2003,335.35
30-04-2003,336
31-05-2003,365.8
30-06-2003,345.15
31-07-2003,355.75
31-08-2003,371
30-09-2003,384.5
31-10-2003,384.6
30-11-2003,398.1
31-12-2003,417.25
31-01-2004,401.3
29-02-2004,392.25
31-03-2004,423
30-04-2004,387.3
31-05-2004,393.85
30-06-2004,393.75
31-07-2004,389.6
31-08-2004,408.1
30-09-2004,412.35
31-10-2004,426.2
30-11-2004,452
31-12-2004,438
31-01-2005,423.8
28-02-2005,436.55
31-03-2005,427.5
30-04-2005,433.2
31-05-2005,416.9
30-06-2005,436.8
31-07-2005,427.15
31-08-2005,433
30-09-2005,473.4
31-10-2005,472.65
30-11-2005,493.8
31-12-2005,513
31-01-2006,569.8
28-02-2006,556.5
31-03-2006,584
30-04-2006,638.25
31-05-2006,654
30-06-2006,600.4
31-07-2006,637
31-08-2006,621.75
30-09-2006,601.75
31-10-2006,600.9
30-11-2006,638.4
31-12-2006,635.7
31-01-2007,645.75
28-02-2007,677
31-03-2007,663.5
30-04-2007,678
31-05-2007,656.6
30-06-2007,648.5
31-07-2007,666.75
31-08-2007,668
30-09-2007,737.75
31-10-2007,783
30-11-2007,794.75
31-12-2007,836.5
31-01-2008,923.75
29-02-2008,969
31-03-2008,937.25
30-04-2008,867.75
31-05-2008,879.5
30-06-2008,932.75
31-07-2008,912
31-08-2008,836.5
30-09-2008,897
31-10-2008,728.5
30-11-2008,813.5
31-12-2008,865
31-01-2009,918.5
28-02-2009,943.75
31-03-2009,918.5
30-04-2009,889
31-05-2009,972
30-06-2009,941
31-07-2009,936.5
31-08-2009,950.75
30-09-2009,1001.25
31-10-2009,1044.5
30-11-2009,1172
31-12-2009,1104
31-01-2010,1082.75
28-02-2010,1112.5
31-03-2010,1109.5
30-04-2010,1175.25
31-05-2010,1214
30-06-2010,1240.5
31-07-2010,1168
31-08-2010,1233.5
30-09-2010,1311
31-10-2010,1336.75
30-11-2010,1375
31-12-2010,1410.25
31-01-2011,1333.5
28-02-2011,1409.75
31-03-2011,1431
30-04-2011,1531
31-05-2011,1537
30-06-2011,1508
31-07-2011,1613.75
31-08-2011,1826
30-09-2011,1629
31-10-2011,1718
30-11-2011,1704
31-12-2011,1574.5
31-01-2012,1738
29-02-2012,1788
31-03-2012,1660.75
30-04-2012,1662.5
31-05-2012,1567.5
30-06-2012,1569.5
31-07-2012,1622.75
31-08-2012,1657.75
30-09-2012,1781
31-10-2012,1718
30-11-2012,1728.25
31-12-2012,1664
31-01-2013,1674.5
28-02-2013,1591
31-03-2013,1602.5
30-04-2013,1472.75
31-05-2013,1410.25
30-06-2013,1203.25
31-07-2013,1331.5
31-08-2013,1392.75
30-09-2013,1335.75
31-10-2013,1333.75
30-11-2013,1245.25
31-12-2013,1201.5
31-01-2014,1246.5
28-02-2014,1327.75
31-03-2014,1294
30-04-2014,1292
31-05-2014,1254
30-06-2014,1313
31-07-2014,1295
31-08-2014,1285.75
30-09-2014,1210
31-10-2014,1173.25
30-11-2014,1184.5
31-12-2014,1199.25
31-01-2015,1263.5
28-02-2015,1205
31-03-2015,1179.25
30-04-2015,1204.3
31-05-2015,1190.4
30-06-2015,1175
31-07-2015,1080.05
31-08-2015,1125.5
30-09-2015,1122.5
31-10-2015,1147.75
30-11-2015,1055.65
31-12-2015,1062.25
31-01-2016,1112.9
29-02-2016,1234.15
31-03-2016,1233.6
30-04-2016,1237.7
