"customer_id","revenue","most_recent_visit","number_of_orders","recency_days"
27285,790,2006-11-29,8,33
37197,1400,2006-08-24,14,130
29609,1025,2006-07-07,12,178
32621,1244,2006-11-09,12,53
18086,1058,2006-09-25,10,98
8824,917,2006-09-24,8,99
17480,1238,2006-06-21,14,194
30005,1405,2006-05-07,13,239
4344,1621,2006-11-01,16,61
17635,582,2006-09-11,10,112
35716,105,2006-10-21,3,72
27183,988,2006-04-24,9,252
12801,1290,2006-08-14,9,140
28732,1021,2006-07-01,10,184
15920,429,2006-07-05,8,180
9119,1716,2006-10-22,16,71
6605,729,2006-12-19,8,13
10472,862,2006-12-05,9,27
18230,924,2006-08-14,10,140
26963,575,2005-12-02,5,395
12108,802,2006-10-14,7,79
21571,1592,2006-11-24,18,38
7052,1223,2006-04-20,14,256
6833,1146,2005-11-28,9,399
15509,1136,2006-09-01,8,122
23492,763,2006-11-27,7,35
20862,712,2005-10-12,7,446
896,560,2006-05-31,8,215
6608,1126,2006-06-10,13,205
32000,312,2005-11-15,4,412
27750,885,2006-04-23,10,253
7581,896,2006-11-06,10,56
352,1095,2006-07-08,10,177
3205,955,2005-10-02,10,456
22309,1153,2006-12-04,9,28
28729,648,2006-10-12,9,81
22337,475,2006-07-25,7,160
18312,358,2006-07-01,6,184
9897,1022,2006-03-27,9,280
30142,590,2006-10-11,10,82
39015,802,2006-09-24,6,99
5687,965,2006-05-05,11,241
28713,82,2006-02-08,3,327
23489,415,2006-07-18,6,167
27345,507,2006-06-21,6,194
32784,1011,2006-03-18,8,289
23606,1140,2005-09-11,12,477
23057,613,2006-04-16,7,260
17232,1246,2006-10-01,12,92
29494,1126,2006-11-17,14,45
3990,888,2006-09-27,13,96
11831,1523,2006-10-09,16,84
33207,1132,2006-10-02,12,91
2703,1325,2006-07-19,13,166
3885,1325,2006-11-17,14,45
6895,838,2006-10-19,9,74
32528,703,2006-11-23,10,39
23371,626,2006-07-29,5,156
13834,545,2006-11-05,6,57
18862,814,2006-09-25,9,98
4280,692,2006-12-03,7,29
14990,1948,2006-10-29,20,64
4772,1450,2006-08-05,13,149
3730,590,2006-08-14,7,140
3059,791,2006-06-13,10,202
39158,931,2006-08-18,10,136
13426,847,2005-11-15,9,412
15680,1556,2006-09-26,14,97
8501,848,2006-11-04,12,58
4919,684,2005-07-03,6,547
11689,783,2005-12-06,7,391
12915,403,2006-05-22,5,224
33635,1196,2006-04-25,12,251
28335,932,2006-09-04,11,119
17202,918,2006-07-13,12,172
21879,775,2006-10-24,11,69
17654,678,2006-09-06,8,117
39733,1025,2006-02-04,8,331
31994,555,2006-05-27,6,219
2573,783,2006-11-06,10,56
36068,709,2005-12-10,7,387
39830,984,2006-02-11,11,324
34275,1121,2006-07-11,9,174
36102,1360,2006-09-10,15,113
22653,809,2006-05-08,8,238
22859,1324,2006-08-04,15,150
31706,639,2006-07-01,7,184
2330,602,2005-10-01,10,457
28552,2162,2006-10-05,18,88
1750,1444,2006-09-25,14,98
19939,808,2005-10-14,10,444
13570,1348,2006-11-01,10,61
37471,1553,2006-09-24,16,99
10485,776,2005-10-07,8,451
29129,1045,2006-11-04,8,58
35712,1125,2006-09-28,8,95
37999,1018,2006-03-04,9,303
21922,1848,2006-07-12,16,173
35380,260,2006-09-15,6,108
34779,632,2005-09-02,7,486
10478,850,2006-08-29,8,125
21975,1041,2006-04-16,10,260
24305,899,2006-08-28,9,126
7538,2092,2006-09-16,19,107
28875,884,2005-07-12,9,538
29590,1576,2006-06-30,15,185
38922,413,2006-07-12,6,173
14148,1462,2006-07-29,14,156
906,1771,2006-08-26,17,128
14094,682,2005-12-31,8,366
11713,465,2006-07-27,6,158
1058,874,2006-09-17,7,106
27141,1207,2006-03-05,16,302
24053,932,2005-07-22,8,528
8688,492,2006-08-25,7,129
7257,648,2005-07-25,7,525
7011,1351,2006-05-06,14,240
35207,910,2006-10-25,10,68
2926,1051,2006-10-11,8,82
32611,947,2005-11-25,7,402
20581,871,2006-12-09,10,23
13652,1119,2006-11-13,11,49
36595,810,2006-08-16,8,138
20128,367,2006-07-06,7,179
38148,901,2006-09-23,13,100
35137,1031,2006-07-26,13,159
11144,1229,2006-12-04,11,28
11074,1674,2006-06-29,16,186
10413,933,2006-08-30,11,124
6265,642,2005-10-23,9,435
12538,593,2006-11-04,6,58
12793,577,2006-08-24,9,130
13002,953,2006-08-22,11,132
35374,641,2006-07-20,11,165
11851,1006,2005-10-20,9,438
11542,1062,2006-06-13,11,202
6290,570,2006-06-27,7,188
36237,616,2006-08-14,7,140
16359,783,2006-06-25,9,190
3164,1248,2006-11-22,11,40
32548,1070,2006-06-02,10,213
33908,1595,2006-07-07,14,178
26463,752,2006-07-01,7,184
15036,1575,2006-05-22,14,224
12365,653,2006-07-22,7,163
28054,596,2006-12-11,7,21
27742,1215,2006-08-04,12,150
21408,954,2005-09-02,9,486
23244,1240,2006-08-03,14,151
7412,335,2006-08-31,5,123
31374,912,2006-09-02,9,121
31042,1006,2006-12-18,12,14
37767,1804,2006-08-11,20,143
240,1040,2006-07-13,10,172
2112,2019,2006-12-20,14,12
24560,1223,2006-08-12,11,142
34438,1266,2006-11-16,12,46
26095,682,2006-10-07,6,86
20191,957,2006-08-02,10,152
33075,570,2006-11-26,8,36
23903,922,2006-08-09,10,145
2021,1384,2006-09-13,14,110
11941,676,2006-07-04,9,181
56,970,2005-09-02,9,486
26674,918,2006-09-24,10,99
36063,963,2006-08-28,9,126
29915,934,2006-08-28,9,126
24798,775,2006-06-24,10,191
1712,772,2005-12-21,11,376
15577,524,2005-08-03,6,516
2147,1103,2006-11-03,14,59
31134,1306,2006-03-10,15,297
5502,521,2006-08-10,7,144
21798,882,2006-12-11,10,21
32547,957,2006-07-17,9,168
25790,1117,2006-12-29,14,3
19619,1250,2006-08-29,13,125
4382,854,2006-09-06,9,117
9782,602,2006-04-16,7,260
5867,959,2006-09-26,8,97
13014,1536,2006-08-13,15,141
26768,365,2006-07-27,5,158
952,609,2005-12-02,7,395
35610,1031,2006-07-03,10,182
21150,930,2006-06-20,10,195
11494,203,2005-09-19,4,469
19151,869,2006-07-22,8,163
21779,800,2006-04-25,8,251
34471,1083,2006-07-30,11,155
9231,1302,2006-06-02,11,213
30564,395,2005-06-28,7,552
14374,1137,2006-06-12,12,203
29133,951,2006-08-06,9,148
8799,1129,2006-06-09,12,206
10194,729,2005-11-23,9,404
3504,516,2006-11-09,7,53
3654,1059,2006-05-31,11,215
7993,735,2006-11-05,11,57
11740,1105,2005-11-26,12,401
7825,550,2006-06-13,8,202
24561,1357,2006-09-15,12,108
14309,1380,2006-11-25,13,37
7314,688,2006-09-25,8,98
38962,1824,2006-07-03,17,182
17591,251,2004-06-16,2,929
39129,1398,2006-07-25,14,160
16207,993,2006-07-28,10,157
35470,1140,2006-07-03,12,182
36619,304,2006-04-30,4,246
6508,576,2006-09-05,8,118
28446,1022,2006-08-30,14,124
17396,1089,2005-08-09,10,510
14881,499,2006-08-20,6,134
30369,862,2006-12-08,7,24
24900,974,2006-12-15,10,17
7880,668,2006-07-15,5,170
17889,845,2006-01-07,10,359
1190,1125,2006-05-26,13,220
30010,1091,2006-08-02,12,152
36840,939,2006-10-05,11,88
36135,1241,2006-12-10,13,22
38837,1186,2006-05-17,12,229
34063,440,2006-08-11,5,143
21722,1068,2006-08-16,10,138
37906,1424,2006-05-08,14,238
29322,935,2005-08-28,7,491
16814,697,2006-11-21,10,41
21323,1022,2006-11-23,10,39
37708,845,2006-11-06,9,56
5005,424,2005-12-17,4,380
35133,1032,2006-07-03,10,182
5712,1413,2006-07-14,10,171
37996,663,2006-11-28,8,34
22884,885,2006-07-09,10,176
16320,1109,2005-11-24,11,403
28100,996,2006-11-11,10,51
32456,579,2006-09-24,9,99
9984,978,2006-10-08,12,85
8898,1025,2006-07-30,10,155
20672,955,2006-07-31,9,154
6956,756,2006-09-19,6,104
4064,693,2006-07-16,8,169
31199,977,2006-08-22,11,132
9706,1018,2006-08-31,12,123
32816,1182,2006-12-03,14,29
6008,819,2006-04-22,7,254
39585,549,2006-07-08,6,177
20698,1566,2006-10-19,17,74
37738,617,2006-10-08,8,85
31321,789,2006-08-27,6,127
38394,598,2005-11-04,7,423
14580,994,2006-10-27,10,66
34768,1035,2006-05-07,9,239
27245,850,2006-09-27,10,96
21420,1191,2006-11-15,9,47
4843,933,2006-10-13,7,80
37659,776,2006-07-01,11,184
37026,1637,2006-08-06,15,148
7226,1004,2006-09-05,10,118
32408,1350,2006-09-27,11,96
5212,910,2006-02-25,8,310
27846,1019,2006-07-11,9,174
30574,1012,2006-03-11,8,296
35,709,2006-11-28,9,34
7188,697,2006-06-17,6,198
2451,768,2006-09-01,12,122
39480,713,2005-07-03,5,547
12665,431,2006-07-25,9,160
13294,514,2006-11-13,7,49
15959,609,2006-02-07,7,328
32371,1285,2006-10-01,15,92
6361,621,2006-03-23,10,284
38781,952,2006-06-12,10,203
7235,995,2005-07-22,10,528
26078,280,2006-08-09,3,145
6065,1179,2006-10-15,13,78
37484,1573,2006-08-24,14,130
18565,1089,2006-10-08,12,85
30849,578,2006-02-10,9,325
37104,908,2005-11-22,10,405
32331,1832,2006-07-24,15,161
14079,660,2006-09-27,8,96
18328,1636,2006-11-21,12,41
11271,774,2006-11-03,8,59
39956,996,2006-09-15,11,108
12407,653,2006-05-17,9,229
30012,655,2006-10-17,9,76
17824,715,2006-10-19,10,74
50,1430,2006-11-11,13,51
1728,1084,2006-08-09,7,145
7486,1051,2006-10-15,10,78
1955,391,2006-03-02,5,305
490,827,2006-08-24,11,130
27447,827,2006-11-29,11,33
27119,132,2005-08-26,4,493
25633,760,2006-08-30,8,124
8731,282,2006-08-01,6,153
2101,800,2006-05-13,11,233
30445,1123,2006-10-02,10,91
7072,681,2005-12-17,8,380
14513,1107,2006-07-20,13,165
19191,801,2006-09-30,7,93
16217,1398,2006-05-02,13,244
1206,790,2006-09-22,8,101
13996,822,2006-04-11,10,265
33286,1184,2006-09-09,11,114
27888,772,2006-09-26,9,97
1240,1161,2006-06-29,8,186
6973,520,2006-05-09,5,237
21033,877,2006-10-15,13,78
30787,391,2006-08-16,5,138
2502,1477,2006-12-13,13,19
39049,371,2005-08-06,5,513
39521,542,2006-05-25,6,221
5891,910,2006-07-18,13,167
38876,1197,2006-10-09,14,84
101,1284,2006-08-24,16,130
16826,656,2006-10-20,7,73
6946,607,2005-06-25,7,555
19857,493,2006-01-11,8,355
33302,1308,2006-03-03,14,304
9672,559,2006-07-15,6,170
24939,1211,2006-12-21,13,11
35757,1322,2006-06-05,13,210
13691,539,2006-11-06,8,56
4822,634,2006-03-08,8,299
13788,1212,2006-09-25,11,98
1683,1009,2006-07-29,11,156
9098,559,2006-04-27,7,249
14477,917,2006-08-10,11,144
20802,1627,2006-12-27,14,5
27731,1523,2006-04-23,14,253
23442,685,2006-08-30,12,124
30913,753,2006-07-30,9,155
26728,503,2006-01-05,7,361
28225,728,2005-11-08,5,419
32603,740,2006-09-01,7,122
30035,774,2006-10-04,8,89
16270,632,2006-09-18,7,105
29715,791,2006-07-20,11,165
2649,700,2006-03-03,9,304
38104,250,2006-05-01,7,245
31971,1348,2006-09-17,15,106
25963,890,2006-06-05,11,210
13309,1038,2005-12-25,8,372
31359,2004,2006-06-17,19,198
32684,1188,2006-08-01,16,153
39834,484,2006-12-29,9,3
13905,1458,2006-12-11,13,21
5968,294,2005-10-10,5,448
16339,1315,2006-06-20,14,195
369,1430,2006-05-10,14,236
165,963,2005-12-26,10,371
36220,1399,2006-02-02,15,333
28247,607,2006-10-15,8,78
1228,556,2006-11-27,6,35
22797,1321,2006-10-16,13,77
16743,1347,2006-09-14,12,109
6793,863,2006-05-05,10,241
22614,175,2006-02-16,4,319
7749,1093,2006-02-23,10,312
591,931,2005-07-30,9,520
13204,798,2006-02-25,10,310
18161,1081,2006-10-13,10,80
18215,1045,2006-05-24,10,222
25124,1013,2006-08-15,10,139
32910,824,2006-05-11,8,235
16871,842,2006-10-29,10,64
11371,445,2005-09-06,6,482
14018,540,2006-12-22,6,10
26657,980,2006-10-25,12,68
13418,1495,2006-05-16,13,230
23028,361,2006-08-27,7,127
17266,939,2006-10-24,7,69
15647,464,2006-08-31,9,123
34156,1069,2006-09-30,13,93
6291,634,2006-01-16,6,350
17157,662,2006-06-26,8,189
25137,1380,2006-11-27,11,35
25911,429,2006-04-18,8,258
1306,848,2005-12-14,11,383
11568,1088,2006-08-25,8,129
24129,1125,2006-07-20,10,165
34387,1166,2006-06-04,10,211
12536,789,2006-05-27,8,219
18315,849,2006-04-04,6,272
8607,851,2006-10-05,10,88
24144,817,2006-02-05,7,330
3746,1402,2006-12-24,16,8
33109,486,2006-08-11,9,143
35933,643,2006-07-16,7,169
7583,1290,2006-06-19,14,196
37113,661,2005-08-20,10,499
37453,1016,2006-07-12,12,173
31946,1152,2005-07-18,10,532
13307,548,2006-01-26,7,340
30995,872,2006-08-21,9,133
25669,652,2006-05-09,10,237
29323,729,2006-10-03,7,90
18379,1073,2006-09-08,15,115
31969,659,2006-09-15,9,108
25289,1027,2006-11-15,8,47
19801,1542,2006-10-23,17,70
37442,596,2006-08-22,6,132
22232,655,2006-07-16,5,169
25577,749,2005-10-28,8,430
17018,354,2006-08-07,8,147
34657,939,2006-09-21,9,102
8105,1196,2006-08-02,13,152
16924,849,2006-01-04,5,362
18821,1173,2006-06-30,14,185
36568,796,2006-07-22,10,163
39780,558,2006-11-08,6,54
18412,563,2006-04-11,5,265
19055,620,2006-10-08,7,85
35973,500,2005-10-04,5,454
38162,1443,2006-03-05,13,302
33921,1512,2006-12-11,13,21
39403,1493,2006-09-19,14,104
19596,1070,2006-10-28,12,65
33864,1765,2006-11-12,13,50
34224,941,2006-05-22,12,224
33110,1332,2006-07-10,16,175
27759,497,2005-09-12,6,476
32907,903,2006-07-24,10,161
26179,953,2005-11-19,8,408
3451,260,2005-06-30,3,550
4987,1536,2005-09-28,12,460
11700,935,2006-03-12,10,295
24653,822,2006-07-01,10,184
15904,960,2006-08-22,8,132
12591,311,2006-06-12,5,203
2698,988,2006-06-09,12,206
12279,660,2006-08-08,8,146
12637,1215,2006-09-22,11,101
15615,1381,2006-07-20,13,165
1704,1274,2006-12-03,11,29
18290,1242,2006-10-08,12,85
31765,426,2006-11-13,6,49
20450,1488,2006-11-16,14,46
20833,994,2006-07-12,10,173
31587,855,2006-11-28,9,34
18697,1344,2006-07-12,13,173
3538,396,2006-02-03,4,332
9104,766,2006-02-23,11,312
17767,1111,2006-12-24,13,8
20426,1039,2006-12-09,12,23
30238,862,2006-08-29,9,125
35081,1217,2006-08-26,10,128
23385,1012,2006-07-14,12,171
10393,792,2006-09-02,10,121
4731,805,2006-01-03,9,363
9686,880,2006-06-16,9,199
17327,923,2006-08-06,9,148
9842,1238,2006-08-13,10,141
38285,1270,2006-12-24,15,8
29082,902,2006-08-18,9,136
72,1800,2006-07-24,16,161
22474,1504,2006-11-26,17,36
18378,1132,2006-12-22,12,10
23724,950,2006-09-15,8,108
5696,1222,2006-05-12,13,234
22205,1035,2006-09-25,11,98
9563,997,2006-07-26,9,159
26508,1190,2006-08-19,12,135
36933,572,2005-10-17,9,441
10929,256,2005-04-07,3,634
2347,980,2006-06-17,9,198
17145,998,2006-08-16,12,138
4622,494,2006-03-19,7,288
3284,635,2006-10-09,9,84
36384,1044,2006-10-03,11,90
17540,932,2006-05-03,12,243
26849,1586,2006-09-09,16,114
24416,857,2006-09-06,10,117
289,1370,2006-10-05,14,88
31384,292,2005-04-15,4,626
11385,1253,2006-11-01,10,61
19764,784,2006-12-04,9,28
4293,411,2006-08-06,4,148
22242,691,2005-07-22,6,528
38069,1188,2006-08-07,13,147
31546,783,2006-11-28,9,34
35285,1103,2006-10-09,12,84
5245,1307,2006-08-02,13,152
16536,926,2006-07-30,11,155
30554,968,2006-02-20,12,315
30810,777,2005-10-01,9,457
31802,967,2005-09-27,7,461
18849,714,2005-08-10,7,509
32511,842,2006-07-17,8,168
7943,1433,2006-08-31,14,123
2682,1070,2006-07-29,11,156
12480,935,2006-07-19,11,166
25173,901,2006-10-11,7,82
11366,944,2006-11-19,8,43
1510,574,2006-07-22,6,163
4098,1188,2006-08-27,11,127
16860,810,2006-07-30,9,155
24725,455,2004-08-08,4,876
17440,1057,2006-05-18,7,228
37929,1216,2006-05-27,10,219
26281,1159,2006-10-04,12,89
21144,1874,2006-12-10,15,22
30740,997,2005-11-02,8,425
34719,1219,2006-09-25,11,98
28203,854,2006-01-30,10,336
6887,913,2006-10-14,10,79
10860,1085,2006-12-03,11,29
17236,410,2006-10-17,6,76
9846,563,2006-11-04,8,58
651,709,2006-09-30,10,93
10448,262,2006-09-03,5,120
1249,1086,2006-10-15,11,78
18830,1573,2006-09-26,16,97
13491,521,2006-09-20,7,103
23031,1299,2006-08-15,11,139
12760,1629,2006-09-14,15,109
23481,1101,2006-09-03,10,120
34092,811,2006-08-23,6,131
25511,1302,2006-06-15,10,200
21352,1036,2006-02-28,9,307
21704,886,2006-04-25,10,251
25295,663,2006-08-02,8,152
38421,900,2005-12-19,11,378
25975,883,2006-08-29,9,125
13281,795,2006-11-27,8,35
17585,2303,2006-11-15,18,47
26930,1077,2006-06-23,11,192
15868,1170,2006-11-14,10,48
2628,1279,2006-04-04,12,272
13242,1200,2005-10-04,7,454
11734,1520,2006-11-17,14,45
4865,1131,2006-10-14,13,79
17240,555,2005-08-22,7,497
31022,967,2006-07-14,11,171
29248,653,2006-07-07,8,178
36014,882,2006-09-24,10,99
4067,1065,2006-10-20,13,73
23125,1064,2006-01-14,11,352
31034,592,2006-09-06,8,117
32295,640,2006-10-28,6,65
23279,596,2006-10-04,6,89
996,523,2005-08-01,5,518
3460,854,2006-10-21,8,72
3649,1140,2005-10-14,11,444
11154,970,2006-06-27,10,188
21130,1205,2006-10-24,11,69
31025,682,2006-12-20,7,12
12400,1538,2006-09-03,15,120
13600,1203,2006-09-07,12,116
36956,644,2006-06-08,12,207
23658,837,2006-08-08,11,146
8264,436,2006-08-04,6,150
30400,868,2006-07-21,9,164
2737,1286,2005-12-08,12,389
32688,854,2006-08-10,9,144
20652,1307,2006-10-22,16,71
11045,759,2006-08-07,8,147
29763,590,2006-10-23,7,70
27169,1000,2006-08-26,12,128
9282,1028,2006-08-26,11,128
33176,1223,2006-08-17,12,137
2267,1647,2006-07-08,14,177
39539,701,2005-11-22,9,405
9471,1560,2006-02-09,13,326
29841,1037,2005-10-06,10,452
20582,559,2006-02-28,8,307
19565,910,2006-04-29,12,247
14581,1934,2006-11-28,19,34
16062,1298,2006-09-06,13,117
5817,619,2006-07-02,7,183
39524,634,2005-12-05,8,392
9387,751,2006-08-10,9,144
30912,1123,2006-10-20,12,73
20771,989,2006-06-11,10,204
25630,741,2006-06-12,9,203
10571,880,2006-08-01,8,153
11695,780,2005-12-09,8,388
1774,699,2005-08-05,9,514
13546,638,2006-08-11,9,143
37658,1054,2006-09-16,11,107
16596,860,2006-06-02,10,213
28131,863,2006-11-02,9,60
11301,681,2005-08-07,9,512
20647,836,2006-06-23,10,192
1336,1181,2006-07-23,12,162
652,784,2005-12-26,10,371
26076,340,2005-10-28,4,430
32527,963,2006-10-02,11,91
32310,1399,2005-11-18,12,409
3490,1043,2006-08-30,11,124
10801,665,2006-08-02,8,152
5149,847,2006-12-06,9,26
11215,873,2006-10-19,11,74
5704,1633,2006-09-14,14,109
39255,463,2006-07-01,5,184
23160,576,2006-09-08,7,115
11068,959,2006-06-09,9,206
